a52dec 0.7.4-11
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
albert-git v0.17.2.r12.gedd178d2-1
alsa-card-profiles 1:0.3.52-2
alsa-lib 1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.1-1
alsa-utils 1.2.7-1
aom 3.4.0-1
appstream-glib 0.7.18-2
arc-icon-theme 20161122-3
archlinux-keyring 20220424-1
argon2 20190702-4
asp 8-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
binutils 2.38-5
bison 3.8.2-4
blas 3.10.1-1
blueman 2.2.5-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost-libs 1.79.0-1
botan 2.19.2-1
box2d 2.4.1-1
brotli 1.0.9-8
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
cdparanoia 10.2-8
clang 13.0.1-2
clucene 2.3.3.4-12
cmake 3.23.2-1
compiler-rt 13.0.1-1
confuse 3.3-3
coreutils 9.1-1
cronie 1.6.1-1
cryptsetup 2.4.3-2
curl 7.83.1-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
deepin-icon-theme 2021.11.24-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
devour 12-2
dhcpcd 9.4.1-1
diffutils 3.8-1
dkms 3.0.3-1
dmenu 5.1-1
dmidecode 3.3-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
double-conversion 3.2.0-1
downgrade 11.0.0-1
dracula-cursors-git v3.0.r18.gf132f6f-1
dracula-icons-git 1.0.0.2d3c83ca-2
duktape 2.7.0-2
dunst 1.8.1-1
e2fsprogs 1.46.5-4
edid-decode-git r603.2e51bef-1
efibootmgr 17-2
efivar 38-2
electron 18.2.4-1
electron17 17.4.3-1
ell 0.51-1
emacs 28.1-7
emacs-pdf-tools-git 0.91.r20.g326552e-1
emacs-tablist-git 1.0.r13.gfaab7a0-1
enchant 2.3.3-1
evtest 1.35-1
exo 4.16.4-1
expat 2.4.8-1
faad2 2.10.0-1
fakeroot 1.29-1
fcgi 2.4.2-2
ffcall 2.4-2
ffmpeg 2:5.0.1-3
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.42-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 101.0.1-1
flac 1.3.4-2
flex 2.6.4-3
fontconfig 2:2.14.0-1
forticlient 7.0.1.0057-2
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
ftgl 2.4.0-2
fuse-common 3.11.0-1
fuse2 2.9.9-4
fzf 0.30.0-3
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 12.1.0-2
gcc-libs 12.1.0-2
gcr 3.41.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gentium-plus-font 6.101-1
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-2
geogebra 6.0.715.0-1
gettext 0.21-2
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
git 2.36.1-1
gl2ps 1.4.2-2
glew 2.2.0-3
glib-networking 1:2.72.0-1
glib2 2.72.2-1
glib2-docs 2.72.2-1
glibc 2.35-6
glibmm 2.66.4-1
glslang 11.10.0-1
glu 9.0.2-3
gmime3 3.2.7-1
gmp 6.2.1-2
gnome-backgrounds 42.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.35-2
gnutls 3.7.6-1
gobject-introspection-runtime 1.72.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 4.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06.r261.g2f4430cc0-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gstreamer 1.20.3-1
gtk-doc 1.33.2-1
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.6.5-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gts 0.7.6.121130-2
guile 2.2.7-2
guile1.8 1.8.8-8
gumbo-parser 0.10.1-2
gzip 1.12-1
harfbuzz 4.3.0-1
harfbuzz-icu 4.3.0-1
haskell-aeson 1.5.6.0-115
haskell-aeson-pretty 0.8.9-66
haskell-ansi-terminal 0.11.2-5
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-176
haskell-asn1-parse 0.9.5-176
haskell-asn1-types 0.3.4-155
haskell-assoc 1.0.2-145
haskell-async 2.2.4-76
haskell-attoparsec 0.14.4-23
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-31
haskell-base-orphans 0.8.6-49
haskell-base16-bytestring 1.0.2.0-29
haskell-base64-bytestring 1.2.1.0-50
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-9
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-173
haskell-blaze-markup 0.8.2.8-79
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
